wavelength,global_tilted,direct_normal
280.0,4.0396284e-08,1.3772935e-08
285.0,1.712665e-06,6.887877e-07
290.0,4.884686e-05,2.26048e-05
295.0,0.0007384987,0.00037658008
300.0,0.0057230266,0.003065416
305.0,0.024852915,0.0135316495
310.0,0.06868482,0.037424944
315.0,0.13464278,0.073203504
320.0,0.21459681,0.11699369
325.0,0.31111196,0.171482
330.0,0.39428297,0.22114043
335.0,0.43164486,0.247903
340.0,0.45741692,0.2700629
345.0,0.48053244,0.29180253
350.0,0.51016194,0.31846875
355.0,0.53074694,0.3397395
360.0,0.55614775,0.36508822
365.0,0.62726015,0.42109826
370.0,0.6680737,0.4570493
375.0,0.67236763,0.46874014
380.0,0.6638424,0.4709063
385.0,0.64826703,0.46804535
390.0,0.68495965,0.50260115
395.0,0.7719453,0.5752614
400.0,0.9776896,0.738364
405.0,1.1250229,0.85882473
410.0,1.1703154,0.90313333
415.0,1.2018211,0.9371169
420.0,1.2110748,0.95367587
425.0,1.1800685,0.9378176
430.0,1.1479026,0.92054826
435.0,1.2237526,0.9897137
440.0,1.3314695,1.084767
445.0,1.4267068,1.1705616
450.0,1.5019664,1.2405832
455.0,1.539343,1.2795916
460.0,1.5565721,1.3016776
465.0,1.5567743,1.3090364
470.0,1.5588756,1.3179281
475.0,1.578167,1.3413218
480.0,1.5783887,1.3481163
485.0,1.5362422,1.317711
490.0,1.5313082,1.31834
495.0,1.5560209,1.3440524
500.0,1.5484071,1.3419522
505.0,1.5464922,1.3446474
510.0,1.5429713,1.3451728
515.0,1.5034069,1.3138816
520.0,1.4941058,1.3090379
525.0,1.5217718,1.3364894
530.0,1.5394545,1.3550249
535.0,1.5400188,1.3581457
540.0,1.5296772,1.351404
545.0,1.5330917,1.3567038
550.0,1.5386688,1.3639474
555.0,1.5295063,1.3583586
560.0,1.5121447,1.3457118
565.0,1.5019366,1.3393755
570.0,1.4932197,1.3341249
575.0,1.4915317,1.3346447
580.0,1.5002213,1.3438978
585.0,1.4900613,1.3362399
590.0,1.4536245,1.3053845
595.0,1.4514154,1.3050544
600.0,1.4644417,1.3180127
605.0,1.4732635,1.3269806
610.0,1.4685464,1.3235782
615.0,1.4548583,1.3120297
620.0,1.442499,1.3017974
625.0,1.4208684,1.2832961
630.0,1.4134845,1.277317
635.0,1.4302161,1.2926129
640.0,1.439884,1.3015709
645.0,1.4234006,1.2872058
650.0,1.3921326,1.2595687
655.0,1.3627648,1.2334383
660.0,1.3711985,1.2414292
665.0,1.4009231,1.2684777
670.0,1.4111267,1.2776747
675.0,1.4036366,1.2709743
680.0,1.3743956,1.2449502
685.0,1.2904717,1.170352
690.0,1.2319092,1.1185197
695.0,1.2616154,1.1451306
700.0,1.2879235,1.1685828
705.0,1.2986064,1.1782267
710.0,1.2871513,1.1681173
715.0,1.2059078,1.0958465
720.0,1.1112939,1.0119967
725.0,1.0894903,0.99340105
730.0,1.121143,1.0225707
735.0,1.1820341,1.0778471
740.0,1.2175659,1.1104263
745.0,1.2338328,1.125995
750.0,1.2242478,1.1182482
755.0,1.1083078,1.0136997
760.0,0.8384039,0.76930064
765.0,0.8102234,0.74520314
770.0,1.0405014,0.9554715
775.0,1.1555909,1.0606393
780.0,1.1646718,1.0696579
785.0,1.1465969,1.0540442
790.0,1.1169872,1.0278734
795.0,1.095226,1.0087348
800.0,1.084262,0.9994197
805.0,1.069838,0.9869261
810.0,1.0220664,0.9440626
815.0,0.9362072,0.8663974
820.0,0.8958193,0.8299483
825.0,0.9079145,0.8413972
830.0,0.93040377,0.8623991
835.0,0.9656534,0.89500546
840.0,0.9941708,0.9214308
845.0,0.9916663,0.9193896
850.0,0.96715826,0.8971536
855.0,0.9594475,0.8905267
860.0,0.97019833,0.9009424
865.0,0.9580519,0.8900715
870.0,0.9486812,0.8818149
875.0,0.9458352,0.8796576
880.0,0.9361758,0.8711595
885.0,0.92371273,0.8600592
890.0,0.8883448,0.827875
895.0,0.7951264,0.7422885
900.0,0.71731794,0.67077535
905.0,0.705104,0.6597388
910.0,0.67906106,0.63586247
915.0,0.6702968,0.62794185
920.0,0.69463456,0.650593
925.0,0.65083545,0.6098899
930.0,0.46793628,0.4395051
935.0,0.3097091,0.29185605
940.0,0.3089468,0.29141122
945.0,0.32710907,0.3085887
950.0,0.3377523,0.3186685
955.0,0.365805,0.3451467
960.0,0.42612407,0.40183213
965.0,0.5189809,0.48878166
970.0,0.6019673,0.5663792
975.0,0.62691313,0.58985364
980.0,0.65763986,0.6186726
985.0,0.70750326,0.66525114
990.0,0.7370043,0.69285154
995.0,0.7427037,0.69831026
1000.0,0.7344321,0.690752
1005.0,0.72305745,0.6803172
1010.0,0.71790874,0.67572737
1015.0,0.71097887,0.6694439
1020.0,0.7008721,0.6601897
1025.0,0.69389975,0.6538771
1030.0,0.68767506,0.6482486
1035.0,0.67997915,0.6412405
1040.0,0.6718489,0.6338138
1045.0,0.6629251,0.6256244
1050.0,0.6544437,0.617847
1055.0,0.64443034,0.6086176
1060.0,0.63251495,0.5975844
1065.0,0.62156737,0.5874638
1070.0,0.61212033,0.57876295
1075.0,0.60543334,0.5726662
1080.0,0.59504086,0.56307673
1085.0,0.5810363,0.55009484
1090.0,0.5624017,0.53274095
1095.0,0.53279144,0.5050501
1100.0,0.49682468,0.47140414
1105.0,0.4532446,0.43048894
1110.0,0.37672073,0.35824156
1115.0,0.25576523,0.243671
1120.0,0.16078201,0.15351473
1125.0,0.12913334,0.12343089
1130.0,0.13953722,0.13334918
1135.0,0.16806324,0.16055702
1140.0,0.19955598,0.19064383
1145.0,0.19253631,0.18402171
1150.0,0.20488825,0.19585544
1155.0,0.2628568,0.25110877
1160.0,0.3346602,0.31943583
1165.0,0.39202115,0.3739751
1170.0,0.4239139,0.40432414
1175.0,0.43309096,0.4131241
1180.0,0.42830956,0.4087053
1185.0,0.4258387,0.40648153
1190.0,0.43680426,0.41697863
1195.0,0.4420754,0.42202455
1200.0,0.43282884,0.4132454
1205.0,0.431064,0.41154486
1210.0,0.43708107,0.41724288
1215.0,0.44606894,0.42581064
1220.0,0.45304817,0.4324979
1225.0,0.4566379,0.43597794
1230.0,0.46149793,0.44066337
1235.0,0.46399614,0.44311145
1240.0,0.46203998,0.4413424
1245.0,0.45830822,0.43790567
1250.0,0.45290935,0.43288684
1255.0,0.4409107,0.42157862
1260.0,0.41727248,0.3991783
1265.0,0.3889619,0.3722797
1270.0,0.38464054,0.36817244
1275.0,0.40452343,0.38712034
1280.0,0.4135335,0.3957258
1285.0,0.41440225,0.39662105
1290.0,0.41012073,0.39265296
1295.0,0.39557302,0.3788912
1300.0,0.37424356,0.35864174
1305.0,0.35298997,0.3384508
1310.0,0.33192158,0.31842774
1315.0,0.3092131,0.29682034
1320.0,0.28775567,0.2763848
1325.0,0.25797448,0.24794471
1330.0,0.21333644,0.20523597
1335.0,0.18301046,0.1762177
1340.0,0.15153432,0.14600211
1345.0,0.08908119,0.08589202
1350.0,0.029367095,0.028339144
1355.0,0.0047852607,0.0046212105
1360.0,0.00035689533,0.00034485167
1365.0,2.024847e-05,1.9586538e-05
1370.0,6.1570536e-05,5.962675e-05
1375.0,0.00017379895,0.00016832653
1380.0,0.00016821374,0.00016294181
1385.0,0.00013221941,0.00012816965
1390.0,0.00019924519,0.0001932412
1395.0,0.00033081137,0.00032103405
1400.0,0.00071738614,0.0006964991
1405.0,0.0015110718,0.0014678051
1410.0,0.004582746,0.0044531785
1415.0,0.010313492,0.010024297
1420.0,0.016606545,0.016146244
1425.0,0.025223427,0.024531202
1430.0,0.030838408,0.02999984
1435.0,0.03162089,0.03077205
1440.0,0.03800075,0.0369884
1445.0,0.050516617,0.049168732
1450.0,0.06711744,0.065320924
1455.0,0.091153,0.088706434
1460.0,0.101811655,0.09907983
1465.0,0.08610271,0.08381105
1470.0,0.0740444,0.07208767
1475.0,0.084120244,0.08188596
1480.0,0.09860853,0.095972605
1485.0,0.12095801,0.1176758
1490.0,0.15645878,0.15212752
1495.0,0.19128805,0.18591242
1500.0,0.21265918,0.20661955
1505.0,0.22368552,0.2173011
1510.0,0.23964514,0.23277624
1515.0,0.25141093,0.24418655
1520.0,0.26066616,0.25316164
1525.0,0.26740685,0.25970683
1530.0,0.26983428,0.262086
1535.0,0.27108902,0.26334158
1540.0,0.27122024,0.2635141
1545.0,0.27158138,0.263896
1550.0,0.27053475,0.26289186
1555.0,0.2684823,0.26091328
1560.0,0.26650938,0.25900745
1565.0,0.26051205,0.25318122
1570.0,0.24838753,0.24139902
1575.0,0.24008374,0.23331487
1580.0,0.24227728,0.23541354
1585.0,0.24747622,0.24042122
1590.0,0.24862468,0.2415089
1595.0,0.24704829,0.2399816
1600.0,0.23859185,0.23180085
1605.0,0.23201016,0.22543854
1610.0,0.231447,0.22489774
1615.0,0.2348403,0.22818242
1620.0,0.2378664,0.23112112
1625.0,0.23902634,0.23226686
1630.0,0.23700269,0.23032676
1635.0,0.23048718,0.22402476
1640.0,0.22296195,0.21674354
1645.0,0.22007419,0.21396524
1650.0,0.2199518,0.213872
1655.0,0.22067599,0.2146085
1660.0,0.21937558,0.21338968
1665.0,0.21444444,0.20865227
1670.0,0.2132612,0.20755264
1675.0,0.2120744,0.20644413
1680.0,0.20793137,0.20245671
1685.0,0.20616375,0.20077713
1690.0,0.20542642,0.20010151
1695.0,0.20364621,0.19840686
1700.0,0.2013012,0.19615117
1705.0,0.19694577,0.19193636
1710.0,0.19104514,0.18622342
1715.0,0.18847935,0.18375325
1720.0,0.18514954,0.18053159
1725.0,0.17908244,0.17464508
1730.0,0.17227176,0.16802937
1735.0,0.1663575,0.16227436
1740.0,0.16357465,0.15956984
1745.0,0.16066544,0.15674807
1750.0,0.16001405,0.156122
1755.0,0.15708199,0.15326883
1760.0,0.15155312,0.14788304
1765.0,0.14136353,0.13796361
1770.0,0.13259815,0.12942669
1775.0,0.11721953,0.11444133
1780.0,0.09919437,0.096867844
1785.0,0.08555205,0.08356083
1790.0,0.074866496,0.0731311
1795.0,0.053196166,0.05197563
1800.0,0.032420646,0.03168735
1805.0,0.018267147,0.017858129
1810.0,0.009810476,0.00959237
1815.0,0.0045512887,0.004450566
1820.0,0.0018323719,0.0017919461
1825.0,0.000937291,0.000916626
1830.0,0.0003353361,0.0003279426
1835.0,4.278147e-05,4.1838728e-05
1840.0,4.426045e-06,4.3292425e-06
1845.0,3.8833537e-06,3.7991774e-06
1850.0,3.297824e-06,3.226913e-06
1855.0,4.139306e-06,4.0531645e-06
1860.0,9.387257e-06,9.19593e-06
1865.0,1.0678295e-05,1.0463767e-05
1870.0,6.6334646e-06,6.505993e-06
1875.0,2.0206111e-05,1.9845582e-05
1880.0,5.3404397e-05,5.2463656e-05
1885.0,9.507156e-05,9.3444214e-05
1890.0,0.00014791863,0.00014544898
1895.0,0.00011486548,0.00011299461
1900.0,3.8240567e-05,3.763224e-05
1905.0,1.0892881e-05,1.07336555e-05
1910.0,2.988209e-05,2.9470266e-05
1915.0,0.00014866427,0.0001466231
1920.0,0.00045646032,0.00045018407
